Question,Expected,Actual,Expected Pages,Retrieved Pages,Retrieval Hit,Similarity,Label,Grounded
"What problem does DistilBERT address?","Large pre-trained language models have hundreds of millions of parameters, making them costly to train and hard to run on-device or under tight compute budgets. DistilBERT addresses this by pre-training a smaller general-purpose model with knowledge distillation that stays cheap, fast, and deployable while keeping strong performance.","DistilBERT addresses the challenges associated with deploying large-scale pre-trained language models, such as BERT, in environments with constrained computational resources. It aims to provide a smaller, faster, and more efficient model that retains a high level of language understanding capabilities. Specifically, DistilBERT reduces the size of the original BERT model by 40% while maintaining 97% of its performance, and it operates 60% faster (Page 1, Page 5). This makes it suitable for on-device computations and real-time applications, thereby facilitating broader adoption of natural language processing technologies in resource-limited settings (Page 2).",1,1;5;3;4;2,YES,0.726,partial,YES
"What is knowledge distillation?","Knowledge distillation is a compression technique where a compact student model is trained to reproduce the behaviour of a larger teacher model (or an ensemble), learning from the teacher's full soft output distribution rather than only hard labels.","Knowledge distillation is a model compression technique where a smaller model, referred to as the 'student,' is trained to replicate the behavior of a larger model, known as the 'teacher,' or an ensemble of models. This process involves the student learning from the teacher's output probabilities, which provides a richer training signal than traditional methods that focus solely on the correct labels. The student is trained using a distillation loss that minimizes the difference between its predicted probabilities and those of the teacher, often incorporating a softmax temperature to smooth the output distribution. The final training objective typically combines this distillation loss with a supervised training loss, allowing the student to leverage the knowledge encoded in the teacher model (Page 2).",2,2;4;1;5;3,YES,0.887,correct,YES
"What is the triple loss used to train DistilBERT?","DistilBERT is trained with a linear combination of three losses: a distillation loss over the teacher's soft target probabilities, the supervised masked language modeling loss, and a cosine embedding loss that aligns the directions of student and teacher hidden state vectors.","The triple loss used to train DistilBERT consists of three components: the masked language modeling loss (Lmlm), the cross-entropy distillation loss (Lce), and a cosine embedding loss (Lcos). This combination allows the model to leverage the knowledge from a larger teacher model while also maintaining effective language modeling capabilities. The masked language modeling loss helps the model understand language context, the distillation loss aligns the student model's predictions with those of the teacher, and the cosine embedding loss encourages the alignment of hidden state vectors between the student and teacher (Page 2, Page 4).",2,4;2;1;5;3,YES,0.868,correct,YES
"What is the softmax-temperature and how is it used in distillation?","A softmax-temperature T controls the smoothness of the output distribution during distillation. The same temperature is applied to teacher and student at training time, and is set to 1 at inference to recover a standard softmax.","The softmax-temperature is a parameter used in the knowledge distillation process to control the smoothness of the output probability distribution generated by a model. Specifically, it is applied during the training of the student model (the compact model) to help it learn from the teacher model (the larger model). The temperature \( T \) modifies the logits (the raw output scores) of the model before applying the softmax function, which converts these logits into probabilities.

In the context of distillation, the softmax-temperature is defined as follows:

\[
p_i = \frac{e^{z_i/T}}{\sum_{j} e^{z_j/T}}
\]

where \( z_i \) is the model score for class \( i \), and \( T \) is the temperature. A higher temperature results in a softer probability distribution, allowing the student model to capture more information about the relative probabilities of all classes, not just the most likely one. During training, both the teacher and student models use the same temperature \( T \), but at inference time, \( T \) is set to 1 to recover the standard softmax function (Page 2). This approach enhances the training signal for the student model, improving its performance by leveraging the richer information provided by the teacher's output distribution.",2,2;4;1;5;3,YES,0.814,correct,YES
"How does DistilBERT's architecture differ from BERT, and how is the student initialized?","DistilBERT keeps BERT's general architecture but removes the token-type embeddings and pooler and halves the number of layers. The student is initialized from the teacher by taking one layer out of every two, exploiting their shared dimensionality.","DistilBERT's architecture differs from BERT primarily in that it has half the number of layers, effectively reducing the model size by 40%. Additionally, DistilBERT removes the token-type embeddings and the pooler component found in BERT (Page 2). 

For the initialization of the student model, DistilBERT is initialized using a technique that leverages the teacher model (BERT). Specifically, the student is initialized by taking one layer out of every two from the teacher model, which helps in aligning the dimensionality between the teacher and student networks (Page 2). This initialization strategy is crucial for ensuring that the student model converges effectively during training.",2,4;1;3;5;2,YES,0.865,correct,NO
"How much of BERT's performance does DistilBERT retain on GLUE?","DistilBERT retains about 97% of BERT-base's performance on the GLUE benchmark while having 40% fewer parameters, and it is always on par with or better than the ELMo baseline across the nine tasks.","DistilBERT retains 97% of BERT's performance on the GLUE benchmark (Page 3).",3,3;4;5;1;2,YES,0.891,correct,YES
"How much smaller and faster is DistilBERT than BERT?","DistilBERT has 40% fewer parameters than BERT (66 million versus 110 million) and is 60% faster at inference, with about 410 seconds versus 668 for a full STS-B pass on CPU.","DistilBERT is 40% smaller than BERT and operates 60% faster. Specifically, it has 66 million parameters compared to BERT's 110 million parameters, and it achieves inference times that are significantly reduced, making it more efficient for on-device computations (Page 3).",3;4,5;1;3;4;2,YES,0.912,correct,NO
"What data and compute were used to train DistilBERT?","DistilBERT was trained on the same corpus as BERT, a concatenation of English Wikipedia and the Toronto Book Corpus, using 8 16GB V100 GPUs for about 90 hours, distilled on very large batches with dynamic masking and no next-sentence-prediction objective.","DistilBERT was trained on the same corpus as the original BERT model, which consists of a concatenation of English Wikipedia and the Toronto Book Corpus (Page 3). The training utilized 8 GPUs with 16GB of memory each (V100 models) for approximately 90 hours. In contrast, the RoBERTa model required a full day of training on a much larger setup of 1024 GPUs with 32GB of memory each (Page 3).",3,3;1;4;5;2,YES,0.804,correct,YES
"How does DistilBERT perform on downstream tasks like IMDb and SQuAD?","On IMDb, DistilBERT is only 0.6% behind BERT in test accuracy while being 40% smaller; on SQuAD it is within about 3.9 points, and adding a second distillation step during fine-tuning narrows the gap further.","DistilBERT performs comparably to BERT on downstream tasks such as IMDb and SQuAD. On the IMDb sentiment classification task, DistilBERT achieves a test accuracy of 92.82%, which is only 0.6 percentage points lower than BERT's 93.46% (Page 3). For the SQuAD 1.1 question answering task, DistilBERT scores 77.7 in Exact Match (EM) and 85.8 in F1, while BERT scores 81.2 in EM and 88.5 in F1, placing DistilBERT within 3.9 points of BERT (Page 3). Additionally, a further distillation step during fine-tuning allows DistilBERT to reach an EM score of 79.1 and an F1 score of 86.9, demonstrating its strong performance despite being 40% smaller than BERT (Page 3).",3;4,3;1;2;4;5,YES,0.854,correct,YES
"What did the ablation study reveal about the components of the training objective?","The ablation showed that removing the masked language modeling loss has little impact, while the two distillation-related losses account for a large part of the performance, and that initializing the student from teacher weights is important compared to random initialization.","The ablation study revealed that all components of the triple loss used in training DistilBERT are important for achieving optimal performance. Specifically, removing the cosine embedding loss (Lcos) and the masked language modeling loss (Lmlm) resulted in notable decreases in performance, indicating that both distillation losses significantly contribute to the model's effectiveness. The study showed that the two distillation losses account for a large portion of the performance, while the impact of removing the masked language modeling loss was relatively minor (Page 4). Overall, the findings emphasize the necessity of leveraging the teacher's knowledge through these components to enhance the distilled model's capabilities.",4,2;4;5;3;1,YES,0.847,correct,YES
