Question,Expected,Actual,Expected Pages,Retrieved Pages,Retrieval Hit,Similarity,Label,Grounded
"What problem does this paper aim to solve?","Pre-trained language models store knowledge implicitly in their parameters, which makes that knowledge hard to access precisely, update, or trace, and they can hallucinate. The paper combines parametric memory with non-parametric retrieval to improve performance on knowledge-intensive tasks.","This paper aims to address the challenges in open-domain question answering (QA) and knowledge-intensive tasks by introducing the Retrieval-Augmented Generation (RAG) model. RAG combines the strengths of generative models and retrieval-based approaches to generate answers that are more factual and grounded in real knowledge sources, such as Wikipedia. It seeks to minimize the negative marginal log-likelihood of answers while efficiently retrieving relevant documents to support the generation process (Page 4). The paper also highlights the limitations of existing methods, such as extractive QA and closed-book approaches, which either rely solely on retrieved spans or do not utilize external knowledge sources, respectively (Page 10). By leveraging both parametric and non-parametric knowledge, RAG aims to improve the accuracy and flexibility of answer generation in various QA scenarios (Page 11).",1;2,4;10;5;11;15,NO,0.547,partial,YES
"What is Retrieval-Augmented Generation (RAG)?","RAG is a fine-tuning approach combining a pre-trained parametric seq2seq model with non-parametric memory — a dense vector index of Wikipedia accessed by a neural retriever — trained end-to-end for language generation.","Retrieval-Augmented Generation (RAG) is a model architecture that combines pre-trained parametric memory with non-parametric memory to enhance knowledge-intensive natural language processing (NLP) tasks. It utilizes a pre-trained sequence-to-sequence (seq2seq) model as its parametric memory and a dense vector index of external knowledge sources, such as Wikipedia, as its non-parametric memory. RAG operates by retrieving relevant documents to inform the generation of text, allowing it to produce more specific, diverse, and factual language compared to traditional parametric-only models (Page 1).

RAG employs two main formulations: RAG-Sequence, which uses the same retrieved document for generating an entire sequence, and RAG-Token, which can draw from different documents for each token generated. This flexibility enables RAG to effectively handle various knowledge-intensive tasks, including open-domain question answering and question generation, achieving state-of-the-art results in several benchmarks (Page 3, Page 5). The model's ability to integrate retrieval mechanisms allows it to update its knowledge base easily and generate accurate responses even when the exact answer is not present in the retrieved documents (Page 6).",1;2,1;3;8;5;6,YES,0.821,correct,YES
"What are the two RAG model formulations proposed?","RAG-Sequence and RAG-Token. RAG-Sequence uses the same retrieved document for the whole output; RAG-Token can use a different retrieved document for each generated token.","The two RAG model formulations proposed are RAG-Sequence and RAG-Token. RAG-Sequence uses the same retrieved document to generate the entire output sequence, treating the document as a single latent variable. In contrast, RAG-Token allows the model to draw from different documents for each target token, enabling it to utilize content from multiple documents when generating an answer (Page 3).",2;3,3;1;5;10;6,YES,0.78,correct,YES
"What retriever does RAG use and what architecture does it follow?","RAG uses Dense Passage Retriever (DPR), a bi-encoder with a BERT document encoder and a BERT query encoder, retrieving via Maximum Inner Product Search (MIPS).","RAG uses the Dense Passage Retriever (DPR) as its retrieval component. The architecture of DPR follows a bi-encoder structure, where it employs two separate BERT-based encoders: one for encoding documents and another for encoding queries (Page 3). This setup allows RAG to efficiently retrieve relevant documents from a dense vector index based on the input query.",3,1;3;5;9;10,YES,0.928,correct,YES
"What model is used as the generator?","BART-large, a pre-trained seq2seq transformer with about 400 million parameters, conditioning on the input concatenated with the retrieved documents.","The generator used in the RAG models is BART-large, which is a pre-trained sequence-to-sequence transformer model with 400 million parameters (Page 3).",3,3;2;4;9;1,YES,0.544,partial,YES
"How are the retriever and generator trained?","Jointly end-to-end by minimizing negative marginal log-likelihood with Adam, without supervision on which document to retrieve. The document encoder and index stay fixed; only the query encoder and BART generator are fine-tuned.","The retriever and generator in the RAG (Retrieval-Augmented Generation) models are trained jointly in an end-to-end manner without direct supervision on which documents should be retrieved. The training process involves minimizing the negative marginal log-likelihood of the target outputs given the input-output pairs (x, y) using stochastic gradient descent with the Adam optimizer (Page 4). 

The retriever, based on the Dense Passage Retriever (DPR), is initialized with a pre-trained bi-encoder architecture that produces dense representations for both documents and queries. During training, the retriever retrieves the top K documents for each query, which are then used by the generator (BART) to produce the output sequence. The generator conditions its output on both the input and the retrieved documents, effectively combining parametric and non-parametric memory (Page 3).

The document encoder remains fixed during training, while the query encoder and the generator are fine-tuned. This setup allows the model to learn how to effectively retrieve relevant documents and generate coherent responses based on the retrieved information (Page 4).",3;4,3;2;1;4;9,YES,0.7,partial,YES
"How is the non-parametric memory (knowledge source) constructed?","A Wikipedia dump is split into disjoint 100-word chunks (about 21 million documents), each embedded by the document encoder and indexed with a FAISS MIPS index using HNSW approximation.","The non-parametric memory in the retrieval-augmented generation (RAG) models is constructed as a dense vector index of Wikipedia. This index is accessed using a pre-trained neural retriever, specifically the Dense Passage Retriever (DPR). The retriever identifies relevant text passages based on the input query, which are then used as additional context for generating responses (Page 2). This setup allows the model to leverage external knowledge dynamically, enabling it to update its memory by simply replacing the document index without requiring retraining (Page 8).",2;4,1;2;8;5;9,YES,0.562,partial,YES
"What were RAG's main results on open-domain question answering?","RAG set a new state of the art on Natural Questions, WebQuestions, and CuratedTrec and was strong on TriviaQA, beating closed-book parametric models and extractive retrieve-and-read systems without needing a re-ranker or extractive reader.","RAG achieved state-of-the-art results on four open-domain question answering (QA) tasks, outperforming both parametric sequence-to-sequence models and task-specific retrieve-and-extract architectures (Page 6). Specifically, RAG-Token and RAG-Sequence demonstrated strong performance, with RAG-Token scoring 44.1 on Natural Questions (NQ) and 55.2 on TriviaQA (TQA), while RAG-Sequence scored 44.5 on NQ and 56.8 on TQA (Page 6). Notably, RAG's ability to generate answers even when they are not explicitly present in retrieved documents led to an 11.8% accuracy on NQ in such cases, highlighting its effectiveness compared to extractive models, which would score zero in similar scenarios (Page 6). Overall, RAG's combination of generation flexibility and retrieval-based performance marked a significant advancement in open-domain QA tasks.",5;6,5;6;10;1;13,YES,0.697,partial,YES
"How does RAG compare to BART on generation tasks like Jeopardy question generation?","RAG-Token beat BART on Q-BLEU-1 for Jeopardy generation, and human raters found RAG more factual and more specific — more factual in 42.7% of cases versus 7.1% for BART.","RAG outperforms BART in Jeopardy question generation tasks, demonstrating superior factuality and specificity. In human evaluations, RAG was deemed more factual than BART in 42.7% of cases, while BART was considered more factual in only 7.1% of instances (Page 8). Additionally, RAG's generations were found to be more specific, highlighting its effectiveness in producing precise and knowledge-intensive outputs. RAG-Token, in particular, performed better than RAG-Sequence and significantly surpassed BART on the Q-BLEU-1 metric, which emphasizes the model's ability to generate high-quality questions (Page 6). Overall, RAG's combination of parametric and non-parametric memory allows it to generate more accurate and contextually relevant questions compared to BART.",6;8,8;5;7;1;6,YES,0.761,correct,YES
"What is the advantage of RAG's non-parametric memory being able to be hot-swapped?","Because knowledge lives in a replaceable index rather than only in parameters, the model's world knowledge can be updated at test time by swapping the index, with no retraining; RAG answered correctly using the index matching the question's time period.","The advantage of RAG's non-parametric memory being able to be hot-swapped is that it allows for the model's knowledge to be easily updated or revised without requiring retraining. This flexibility enables RAG to incorporate new information or correct inaccuracies by simply replacing the external knowledge source, such as a dense vector index of Wikipedia, with a more current or relevant dataset. As a result, RAG can maintain its performance on knowledge-intensive tasks while adapting to changes in factual information over time (Page 1).",7;8,8;1;5;10;2,YES,0.55,partial,YES
